star,trans,snr,radius,scale_temp,kmag,nasa_pl_name,pl_name,default_flag,hostname,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_dens,pl_denserr1,pl_denserr2,pl_eqt,pl_letter,pl_orbper,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_trandur,rowupdate,st_rad,st_teff,sy_dist,sy_jmag,sy_kmag
TOI-561c,1.54,1.9,2.863,797,8.4,TOI-561 c,TOI-561 c,1.0,TOI-561,5.93,0.67,-0.67,1.3,0.2,-0.2,802.0,c,10.778838,0.0889,2.865,0.041,-0.041,3.739,2025-02-24,0.843,5342.0,85.799,8.879,8.394
K2-036c,2.44,1.9,3.192,864,9.4,K2-36 c,K2-36 c,1.0,K2-36,7.9,2.8,-2.8,1.3,0.71,-0.51,854.0,c,5.340888,0.05528,3.2,0.3,-0.3,1.267,2023-04-17,0.718,4916.0,109.749,10.034,9.454001
TOI-421b,1.29,1.9,2.643,1008,8.1,TOI-421 b,TOI-421 b,1.0,TOI-421,6.7,0.6,-0.6,2.040038,0.275681,-0.275681,922.0,b,5.197576,0.0554,2.64,0.08,-0.08,1.09,2024-08-07,0.866,5291.0,74.7969,8.547,8.071
TOI-1130b,1.47,1.9,3.662,824,8.4,TOI-1130 b,TOI-1130 b,1.0,TOI-1130,19.8,0.2,-0.3,2.23,0.06,-0.06,825.0,b,4.074554,0.0453,3.66,0.03,-0.04,1.8373729,2024-08-30,0.697,4360.0,58.2609,9.055,8.351
TOI-1136c,1.26,1.9,2.876,1058,8.0,TOI-1136 c,TOI-1136 c,1.0,TOI-1136,6.32,1.1,-1.3,1.45,0.29,-0.29,1062.0,c,6.2574,0.0669,2.76948277,0.07745317,-0.06719432,3.4880319,2024-04-10,0.968,5770.0,84.5362,8.363,8.034
TOI-663b,2.59,1.9,2.274,739,9.6,TOI-663 b,TOI-663 b,1.0,TOI-663,4.45,0.63,-0.66,2.07,0.42,-0.38,674.0,b,2.598902,0.0295,2.27,0.1,-0.09,1.6635706,2024-06-25,0.512,3681.0,64.2308,10.448,9.607
TOI-663c,2.55,1.8,2.262,607,9.6,TOI-663 c,TOI-663 c,1.0,TOI-663,3.65,0.97,-0.97,1.73,0.54,-0.49,553.0,c,4.6955507,0.0437,2.26,0.1,-0.1,2.1638721,2024-06-25,0.512,3681.0,64.2308,10.448,9.607
TOI-178e,1.69,1.8,2.299,605,8.8,TOI-178 e,TOI-178 e,1.0,TOI-178,3.86,1.25,-0.94,1.98,0.788,-0.53,600.0,e,9.961881,0.0783,2.207,0.088,-0.09,2.501,2021-03-12,0.651,4316.0,62.699,9.372,8.656
HD_086226c,0.57,1.8,2.162,1310,6.5,HD 86226 c,HD 86226 c,1.0,HD 86226,7.25,1.19,-1.12,3.97,0.78,-0.73,1311.0,c,3.98442,0.049,2.16,0.08,-0.08,3.12,2020-08-06,1.053,5863.0,45.683,6.839,6.463
TOI-269,3.04,1.7,2.766,575,10.1,TOI-269 b,TOI-269 b,1.0,TOI-269,8.8,1.4,-1.4,2.28,0.48,-0.42,531.0,b,3.6977104,0.0345,2.77,0.12,-0.12,0.9308263,2021-05-17,0.398,3514.0,57.0225,10.909,10.1
TOI-1422,1.99,1.7,3.954,865,9.2,TOI-1422 b,TOI-1422 b,1.0,TOI-1422,9.0,2.3,-2.0,0.795,0.29,-0.235,867.0,b,12.9972,0.108,3.96,0.13,-0.11,4.52,2022-07-18,1.019,5840.0,155.141,9.585,9.19
HD_021749b,0.34,1.7,2.856,408,5.4,GJ 143 b,GJ 143 b,1.0,GJ 143,22.7,2.2,-1.9,7.0,1.6,-1.3,422.0,b,35.61253,0.1915,2.61,0.17,-0.16,3.23,2019-04-22,0.695,4640.0,16.32,6.081,5.375
HD_015337c,0.73,1.7,2.524,644,7.0,HD 15337 c,HD 15337 c,1.0,HD 15337,6.792,1.302,-1.143,2.303,0.505,-0.414,592.77,c,17.180546,0.1235,2.526,0.086,-0.075,2.1004813,2025-02-12,0.855,5131.0,44.8155,7.553,7.044
K2-025b,3.29,1.6,3.427,494,10.4,K2-25 b,K2-25 b,1.0,K2-25,24.5,5.7,-5.2,,,,494.0,b,3.48456408,0.0287,3.44,0.12,-0.12,0.7637,2022-03-28,0.2932,3207.0,44.9565,11.303,10.444
LHS_1140b,1.55,1.6,1.728,225,8.8,LHS 1140 b,LHS 1140 b,1.0,LHS 1140,5.6,0.19,-0.19,5.9,0.3,-0.3,226.0,b,24.73723,0.0946,1.73,0.025,-0.025,2.15,2024-03-04,0.2159,3096.0,14.9861,9.612001,8.821
K2-266d,1.58,1.6,2.923,538,8.9,K2-266 d,K2-266 d,1.0,K2-266,8.9,5.7,-3.8,2.03,0.64,-0.43,538.3,d,14.697,0.1035,2.93,0.14,-0.12,3.408,2022-10-31,0.703,4285.0,77.5586,9.611,8.897
TOI-1054,0.84,1.5,3.084,916,7.6,TOI-1054 b,,,,,,,,,,,,,,,,,,,,,,,
